oga_id,catalogue_number,supplier,rrid,gene_name,availability_checked,evidence_quote,evidence_type,checked_how,checked_on,previous_verdict
1003,107 102,Synaptic Systems,AB_887769,RAB3A,not_rechecked,[11-12 Aug] Cat. No.: 107 102  Amount: 200 µl  Price: 330.00 €  Add to Cart,,not re-checked on 30 Aug,2026-08-11,available
1004,107 111,Synaptic Systems,AB_2619776,RAB3A,not_rechecked,[11-12 Aug] Cat. No.: 107 111  Amount: 100 µg  Price: 375.00 €  Add to Cart,,not re-checked on 30 Aug,2026-08-11,available
1005,ab234089,abcam,AB_3096334,RAB3A,discontinued,[11-12 Aug] This product is discontinued. / Anti-Rab3A antibody [6D1A12] (AB234089) is unavailable.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1008,A5379,ABclonal,AB_2766189,RAB3A,discontinued,[11-12 Aug] 0 results for A5379,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1039,PCRP-RXRA-2A8-s,Developmental Studies Hybridoma Bank (DSHB),AB_2924265,RXRA,available,[11-12 Aug] In Stock; $50.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1046,97415,Cell Signaling Technology,AB_2916164,TYROBP,available,[11-12 Aug] DAP12 (E7U7T) Rabbit Monoclonal Antibody #97415; £171 / £375; ADD TO BASKET,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1051,MA5-34787,Thermo Fisher Scientific,AB_2848695,TYROBP,available,[11-12 Aug] Thermo: GBP 413.00 with active Add To Cart button,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1057,ab155779,abcam,AB_2885095,TYROBP,discontinued,[11-12 Aug] This product is discontinued. / Anti-DAP12 antibody (AB155779) is unavailable.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1059,GTX87212,GeneTex,AB_10722468,SDC4,discontinued,[11-12 Aug] Syndecan 4 antibody (GTX87212) has been discontinued.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1060,PA1-32485,Thermo Fisher Scientific,AB_2285477,SDC4,discontinued,[11-12 Aug] Thermo: alert 'The product (cat # PA1-32485) that you're looking for has been discontinued and replaced with 36-3100' plus Product Discontinued panel - screenshot verified,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1061,PA5-95950,Thermo Fisher Scientific,AB_2807752,SDC4,available,[11-12 Aug] Thermo: active Add to Cart button with pricing section for catalog #PA5-95950 100 uL,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1062,11820-1-AP,Proteintech,AB_2877797,SDC4,available,[11-12 Aug] SDC4 Polyclonal antibody (11820-1-AP); £349; Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1064,ab220827,abcam,AB_2818949,SETX,discontinued,"Abcam: page renders in full with no price and no buy panel, but carries NO discontinuation notice (OBSERVATION, NOT A QUOTE). Contrast Abcam discontinued controls ab4193/ab39969, whose titles read ""is not available"" and whose pages state ""This product is discontinued"".",no_purchase_option_no_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1065,ab243904-100ul,abcam,AB_2893218,SETX,discontinued,[11-12 Aug] This product is discontinued. / Anti-Senataxin antibody [BLR050F] - BSA free (AB243904) is unavailable.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1068,NB100-57542,Bio-Techne (Novus Biologicals),AB_922411,SETX,available,[11-12 Aug] In Stock - Arrives in 7 - 9 Business Days; 100 ul / £421.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1069,PA5-72986,Thermo Fisher Scientific,AB_2718840,SETX,available,[11-12 Aug] Thermo: active Add to Cart button with pricing and quantity selector,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1070,PA5-54979,Thermo Fisher Scientific,AB_2647169,SETX,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1071,PA5-66071,Thermo Fisher Scientific,AB_2663839,SETX,available,[11-12 Aug] Thermo: active Add to Cart button with catalog number PA5-66071 and quantity selector,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1079,GTX24193,GeneTex,AB_370619,SFRP1,available,[11-12 Aug] SFRP1 antibody - Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1080,GTX102371,GeneTex,AB_1951886,SFRP1,discontinued,[11-12 Aug] GTX102371 is currently not offered.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1096,42-3300,Thermo Fisher Scientific,AB_2533521,SIGMAR1,available,"[11-12 Aug] Thermo: Catalog # 42-3300 with ""View price in cart"" and active Add to cart button - screenshot verified",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1098,GTX115389,GeneTex,AB_10623075,SIGMAR1,available,[11-12 Aug] SIGMAR1 antibody [N1C3] - Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1133,NBP2-23490,Bio-Techne (Novus Biologicals),AB_2885153,SQSTM1,discontinued,[11-12 Aug] Availability: Product Discontinued (NBP2-23490),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1139,35-4400,Thermo Fisher Scientific,AB_2533204,UBQLN2,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1140,37-7700,Thermo Fisher Scientific,AB_2533341,UBQLN2,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1146,PCRP-UBQLN2-1C7,Developmental Studies Hybridoma Bank (DSHB),AB_2619216,UBQLN2,available,[11-12 Aug] In Stock; $50.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1148,ARP59353_P050,Aviva Systems Biology,AB_10865653,UBQLN2,available,[11-12 Aug] Availability: within 1-2 days delivery; size dropdown 25UL / 100ul,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1151,MA5-29639,Thermo Fisher Scientific,AB_2785468,VAPB,discontinued,"Thermo Fisher: ""The product (cat # MA5-29639) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1153,A5363,ABclonal,AB_2766173,VAPB,available,[11-12 Aug] Catalog Number: A5363 - Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1165,ab110308,abcam,AB_10861815,VCP,discontinued,[11-12 Aug] This product is discontinued. / Anti-VCP antibody [3E8DC11] (AB110308) is unavailable.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1174,PA5-106693,Thermo Fisher Scientific,AB_2854361,VGF,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for VGF Polyclonal",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1177,ab115609,abcam,AB_10903876,VGF,discontinued,"Abcam: page renders in full with no price and no buy panel, but carries NO discontinuation notice (OBSERVATION, NOT A QUOTE). Contrast Abcam discontinued controls ab4193/ab39969, whose titles read ""is not available"" and whose pages state ""This product is discontinued"".",no_purchase_option_no_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1218,PA5-96958,Thermo Fisher Scientific,AB_2808760,SLC25A11,available,[11-12 Aug] Thermo: active Add to Cart button on SLC25A11 Polyclonal Antibody PA5-96958 page,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1220,ab155196,abcam,AB_2885094,SLC25A11,discontinued,[11-12 Aug] Anti-SLC25A11 antibody (AB155196) is unavailable. (redirected to /products/unavailable/),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1222,ARP43850_P050,Aviva Systems Biology,AB_10641544,SLC25A11,available,[11-12 Aug] Availability: within 1-2 days delivery; sizes 25UL + $99.00 / 100ul + $399.00,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1223,ARP43849_P050,Aviva Systems Biology,AB_2048075,SLC25A11,available,"[11-12 Aug] Availability field present, not Discontinued; Add to Cart; sizes 25UL + $99.00 / 100ul + $399.00",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1225,14048-1-AP,Proteintech,AB_2239416,SLC27A2,available,"[11-12 Aug] FATP2 Polyclonal antibody (14048-1-AP); £349/ 150 μL; In stock in Manchester, UK.; Add to Basket",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1226,ab228784,abcam,AB_2885117,SLC27A2,discontinued,[11-12 Aug] This product is discontinued. / Anti-FATP2 antibody (ab228784) is unavailable.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1227,ab175373,abcam,AB_2716562,SLC27A2,discontinued,[11-12 Aug] Anti-FATP2 antibody [6B3A9] (AB175373) is unavailable. (redirected to /products/unavailable/),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1228,MA5-31907,Thermo Fisher Scientific,AB_2787530,SLC27A2,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1231,11337-1-AP,Proteintech,AB_2190784,SLC29A1,discontinued,[11-12 Aug] ENT1 Polyclonal antibody (11337-1-AP): This product is currently not available for sale.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1232,NBP2-41313,Bio-Techne (Novus Biologicals),AB_2885156,SLC29A1,discontinued,[11-12 Aug] Availability: Product Discontinued (NBP2-41313),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1239,MA5-24979,Thermo Fisher Scientific,AB_2723654,SLC2A6,available,[11-12 Aug] Thermo: active Add to Cart button with pricing and quantity selector for SLC2A6 Monoclonal,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1241,PA5-58599,Thermo Fisher Scientific,AB_2647489,SLC37A4,available,[11-12 Aug] Thermo: active Add to Cart button on SLC37A4 Polyclonal PA5-58599 ordering panel,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1242,NBP2-93652,Bio-Techne (Novus Biologicals),AB_2885162,SLC37A4,discontinued,[11-12 Aug] Availability: Product Discontinued (NBP2-93652),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1243,NBP1-59877,Bio-Techne (Novus Biologicals),AB_11003770,SLC37A4,available,[11-12 Aug] NBP1-59877 100 ul £343.00 - Please Call for Availability,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1244,20612-1-AP,Proteintech,AB_10858386,SLC37A4,available,"[11-12 Aug] SLC37A4 Polyclonal antibody (20612-1-AP); £349/ 150 μL; In stock in Manchester, UK.; Add to Basket",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1251,ab134166,abcam,AB_2620141,SLIT2,available,[11-12 Aug] Price: Starts from $205,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1253,ab7665,abcam,AB_449621,SLIT2,available,[11-12 Aug] Price: Starts from $545,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1277,MA5-32835,Thermo Fisher Scientific,AB_2802482,SQSTM1,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for catalog #MA5-32835 100 uL,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1278,710539,Thermo Fisher Scientific,AB_2532735,SQSTM1,discontinued,"Thermo Fisher: ""The product (cat # 710539) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1279,701510,Thermo Fisher Scientific,AB_2532489,SQSTM1,discontinued,"Thermo Fisher: ""The product (cat # 701510) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1305,ARP39001_P050,Aviva Systems Biology,AB_1256753,STAT5B,available,[11-12 Aug] Availability: Domestic: within 1-2 days delivery; Add to Cart (found via site search at stat5b-antibody-c-terminal-region-arp39001-p050.html),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1306,ARP33379_P050,Aviva Systems Biology,AB_2048262,STAT5B,available,[11-12 Aug] Availability: Domestic: within 1-2 days delivery; Add to Cart (found via site search at stat5b-antibody-n-terminal-region-arp33379-p050.html),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1309,110 043,Synaptic Systems,AB_10693907,STX4,not_rechecked,[11-12 Aug] Cat. No.: 110 043  Amount: 50 µg  Price: 390.00 €  Add to Cart,,not re-checked on 30 Aug,2026-08-11,available
1311,MA5-38156,Thermo Fisher Scientific,AB_2895069,STX4,available,[11-12 Aug] Thermo: active Add to Cart button alongside price display area,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1312,MA5-38349,Thermo Fisher Scientific,AB_2895070,STX4,available,"[11-12 Aug] Thermo: Catalog # MA5-38349 with ""View price in cart"" and active Add to cart - screenshot verified",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1342,GTX633910,GeneTex,AB_2888388,SYK,available,[11-12 Aug] Syk antibody [GT351] - Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1350,AFFN-SYK-5A10,Developmental Studies Hybridoma Bank (DSHB),AB_2617957,SYK,available,[11-12 Aug] $50.00; Please allow 4 -6 weeks for production and delivery.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1391,MA1-25568,Thermo Fisher Scientific,AB_795474,SYT1,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1416,GTX630196,GeneTex,AB_2888198,TARDBP,available,[11-12 Aug] TDP43 antibody [GT225] - Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1434,703154,Thermo Fisher Scientific,AB_2848223,TBK1,available,[11-12 Aug] Thermo: active Add to Cart button in pricing and purchase options section,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1438,GTX113057,GeneTex,AB_11174793,TBK1,discontinued,"[11-12 Aug] NAK / TBK1 antibody [N2C1], Internal (GTX113057) has been discontinued.",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1439,NBP2-53336,Bio-Techne (Novus Biologicals),AB_2885158,TIA1,discontinued,[11-12 Aug] Availability: Product Discontinued (NBP2-53336),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1441,NBP3-13791,Bio-Techne (Novus Biologicals),AB_2927743,TIA1,discontinued,[11-12 Aug] Availability: Product Discontinued (NBP3-13791),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1444,MA5-32615,Thermo Fisher Scientific,AB_2809892,TIA1,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for TIA-1 MA5-32615",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1448,GTX33545,GeneTex,AB_2887719,TIA1,discontinued,[11-12 Aug] TIA1 antibody (GTX33545) has been discontinued.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1449,A6237,ABclonal,AB_2766845,TIA1,discontinued,[11-12 Aug] Catalog Number: A6237 - Discontinued,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1451,ARP40979_P050,Aviva Systems Biology,AB_2048416,TIA1,available,"[11-12 Aug] Availability field present, not Discontinued; Add to Cart; sizes 25ul + $99.00 / 100ul + $399.00",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1452,23288-1-AP,Proteintech,AB_2879247,TICAM1,available,[11-12 Aug] TRIF/TICAM1 Polyclonal antibody (23288-1-AP); £349/150 μL; Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1460,NBP2-46234,Bio-Techne (Novus Biologicals),AB_2905617,TSC1,available,[11-12 Aug] NBP2-46234 0.1 ml £412.00  8-11 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1471,37-0500,Thermo Fisher Scientific,AB_2533293,TSC2,available,[11-12 Aug] Thermo: active Add to Cart button in pricing section for TSC2 Monoclonal,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1476,GTX130511,GeneTex,AB_2886294,TSC2,available,"[11-12 Aug] TSC2 antibody Cat. No. GTX130511 - Add to Cart, EUR 399.00",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1477,GTX81899,GeneTex,AB_11167595,TSC2,available,[11-12 Aug] Cat. No. GTX81899,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1483,ab52866,abcam,AB_869989,TUBA4A,available,[11-12 Aug] Price: Starts from $140,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1487,GTX113098,GeneTex,AB_1952430,TUBA4A,discontinued,[11-12 Aug] alpha Tubulin 4a antibody (GTX113098) has been discontinued.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1488,GTX112653,GeneTex,AB_10617564,TUBA4A,discontinued,[11-12 Aug] GTX112653 is currently not offered.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1516,GTX130847,GeneTex,AB_2886362,RAB7A,available,[11-12 Aug] RAB7A antibody Cat. No. GTX130847 - Add to Cart,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1521,PA5-51951,Thermo Fisher Scientific,AB_2639314,CTSH,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" and 100 uL size",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1528,MA5-15852,Thermo Fisher Scientific,AB_11153583,APOE,available,[11-12 Aug] Thermo: active Add to Cart button in purchasing options section for APOE MA5-15852,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1529,701241,Thermo Fisher Scientific,AB_2532438,APOE,available,[11-12 Aug] Thermo: active Add to Cart button with pricing and quantity controls for APOE recombinant,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1533,MA5-42813,Thermo Fisher Scientific,AB_2911954,SLIT2,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for SLIT2 MA5-42813,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1534,PA5-31133,Thermo Fisher Scientific,AB_2548607,SLIT2,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1537,MA5-31711,Thermo Fisher Scientific,AB_2787335,DDX1,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for DDX1 MA5-31711 100 uL,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1538,PA5-104066,Thermo Fisher Scientific,AB_2853395,RAB1A,discontinued,"Thermo Fisher: ""The product (cat # PA5-104066) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1539,PA5-104067,Thermo Fisher Scientific,AB_2853396,RAB1B,discontinued,"Thermo Fisher: ""The product (cat # PA5-104067) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1540,MA5-31883,Thermo Fisher Scientific,AB_2787506,RAB8A,available,[11-12 Aug] Thermo: active Add to Cart button as primary purchase call to action,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1543,MA5-31879,Thermo Fisher Scientific,AB_2787502,RAB13,available,[11-12 Aug] Thermo: active Add to Cart button with pricing and quantity selector for RAB13 MA5-31879,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1544,PA5-102522,Thermo Fisher Scientific,AB_2851924,RAB27A,discontinued,"Thermo Fisher: ""The product (cat # PA5-102522) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1547,PA5-103244,Thermo Fisher Scientific,AB_2852608,RAB35,out_of_stock,"[11-12 Aug] Thermo: Catalog # PA5-103244 with ""View price in cart"" and active Add to cart - screenshot verified",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1549,PA5-98107,Thermo Fisher Scientific,AB_2812721,RAB5B,available,[11-12 Aug] Thermo: active Add to Cart button for RAB5B Polyclonal Antibody,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1555,PA5-44578,Thermo Fisher Scientific,AB_2608352,RAB1A,available,"[11-12 Aug] Thermo: Catalog # PA5-44578 with ""View price in cart"" and active Add to Cart - screenshot verified",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1556,PA5-109239,Thermo Fisher Scientific,AB_2854650,RAB7A,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for RAB7A PA5-109239",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1561,MA5-31880,Thermo Fisher Scientific,AB_2787503,RAB1B,discontinued,"Thermo Fisher: ""The product (cat # MA5-31880) that you're looking for has been discontinued""; ""Product Discontinued""",on_page_statement,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
1562,MA5-32150,Thermo Fisher Scientific,AB_2809440,RAB5A,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for RAB5 MA5-32150",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1572,PA5-36606,Thermo Fisher Scientific,AB_2553608,RAB5C,available,"[11-12 Aug] Thermo: Catalog # PA5-36606 with ""View price in cart"" and active Add to cart - screenshot verified",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1574,11671-1-AP,Proteintech,AB_2173437,RAB1A,available,[11-12 Aug] RAB1A Polyclonal antibody (11671-1-AP); Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1608,ab109534,abcam,AB_10865740,RAB5A,available,[11-12 Aug] Price: Starts from $165,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1616,703141,Thermo Fisher Scientific,AB_2784565,DDX1,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for DDX1 703141 100 ug,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1648,15708-1-AP,Proteintech,AB_2257881,ACSL5,available,"[11-12 Aug] ACSL5 Polyclonal antibody (15708-1-AP); £349/150 μL; In stock in Manchester, UK; Add to Basket",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1649,27972-1-AP,Proteintech,AB_2881024,GBA1,available,[11-12 Aug] GBA Polyclonal antibody (27972-1-AP); £349/ 150 μL; Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1651,66067-1-Ig,Proteintech,AB_11043343,CAV1,available,"[11-12 Aug] Caveolin-1 Monoclonal antibody 66067-1-Ig; £349/150 μL; In stock in Manchester, UK; Add to Basket",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1654,81014-1-RR,Proteintech,AB_2923696,CAMK2D,available,"[11-12 Aug] CAMK2D Recombinant monoclonal antibody (81014-1-RR); £360/ 100 μL; In stock in Manchester, UK; Add to Basket",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1656,66926-1-Ig,Proteintech,AB_2882253,GPNMB,discontinued,[11-12 Aug] GPNMB Monoclonal antibody (66926-1-Ig): This product has been discontinued. We recommend 84160-3-RR as an alternative.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1660,67445-1-Ig,Proteintech,AB_2882679,HNRNPA2B1,available,[11-12 Aug] HNRNPA2B1 Monoclonal antibody (67445-1-Ig); £349/ 150 μL; Add to Basket,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1664,NBP1-19797,Bio-Techne (Novus Biologicals),AB_1641648,CTSB,discontinued,[11-12 Aug] Discontinued Product - NBP1-19797 has been discontinued.,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1665,NB100-615,Bio-Techne (Novus Biologicals),AB_10003431,CAV1,available,[11-12 Aug] NB100-615SS 0.025 ml £182.00  In Stock: 7-9 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1683,710695,Thermo Fisher Scientific,AB_2608784,HTT,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" - no discontinued notice present",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1685,NBP1-92685,Bio-Techne (Novus Biologicals),AB_11037253,TAF15,available,[11-12 Aug] NBP1-92685SS 0.025 ml £135.00  In Stock: 7-9 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1694,41-4800,Thermo Fisher Scientific,AB_2533508,CTSB,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for catalog #41-4800 100 ug,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1697,MA3-600,Thermo Fisher Scientific,AB_779568,CAV1,available,[11-12 Aug] Thermo: active Add to Cart button with pricing and quantity controls for Caveolin 1 7C8,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1700,PA1-742,Thermo Fisher Scientific,AB_325854,STXBP1,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" and quantity selector",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1705,MA5-26647,Thermo Fisher Scientific,AB_2725096,PPP2R5D,available,[11-12 Aug] Thermo: active Add to Cart button with quantity controls and pricing for PPP2R5D MA5-26647,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1706,MA5-32591,Thermo Fisher Scientific,AB_2809868,GBA1,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for GBA MA5-32591",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1712,MA5-41256,Thermo Fisher Scientific,AB_2899009,HTT,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for Huntingtin MA5-41256",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1713,MA5-42576,Thermo Fisher Scientific,AB_2911717,CTSB,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" for Cathepsin B MA5-42576",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1721,MA5-16703,Thermo Fisher Scientific,AB_2538195,HTT,available,[11-12 Aug] Thermo: active Add to Cart button with pricing and quantity controls for Huntingtin MA5-16703,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1724,MA5-35236,Thermo Fisher Scientific,AB_2849139,GBA1,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for GBA MA5-35236,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1725,MA5-38382,Thermo Fisher Scientific,AB_2898296,GBA1,available,[11-12 Aug] Thermo: active Add to Cart button with pricing for GBA MA5-38382,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1727,MA5-18532,Thermo Fisher Scientific,AB_2607918,CAMK2D,available,"[11-12 Aug] Thermo: active Add to Cart button with ""View price in cart"" and quantity selector",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1729,NBP2-37351,Bio-Techne (Novus Biologicals),AB_3094822,GPNMB,available,[11-12 Aug] NBP2-37351 0.1 ml £417.00  11-13 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
